,gene,freq
1,QKI,12
2,ZBTB20,11
3,BCL2L11,10
4,DENND1B,10
5,NUFIP2,10
6,TBL1XR1,10
7,TNRC6B,10
8,BRWD1,9
9,CPEB2,9
10,EPC1,9
11,GAREM1,9
12,INO80D,9
13,MAPK8,9
14,OTUD4,9
15,TP53INP1,9
16,UBN2,9
17,ZBTB18,9
18,ZNF704,9
19,AFF4,8
20,AGO1,8
21,CCNT2,8
22,CPEB3,8
23,E2F7,8
24,GALNT7,8
25,HIPK3,8
26,JARID2,8
27,KCNK10,8
28,KLF7,8
29,MAP3K20,8
30,NACC2,8
31,NFATC3,8
32,NFIA,8
33,RAP2C,8
34,RICTOR,8
35,RORA,8
36,SCAI,8
37,SCN3A,8
38,SCN8A,8
39,SIX4,8
40,SOGA1,8
41,ZMAT3,8
42,AAK1,7
43,ACVR2B,7
44,ADAMTS6,7
45,ATXN1,7
46,BRWD3,7
47,BTAF1,7
48,CCDC6,7
49,CDK6,7
50,CFL2,7
51,CHIC1,7
52,CLOCK,7
53,CMTM4,7
54,CUX1,7
55,DCUN1D1,7
56,DLGAP1,7
57,DYNC1LI2,7
58,FAM91A1,7
59,FAT3,7
60,FBXL20,7
61,FRS2,7
62,GNAQ,7
63,GPATCH2L,7
64,IFFO2,7
65,ITPR1,7
66,LCOR,7
67,LDLRAD4,7
68,LRP2,7
69,LRP6,7
70,MAP3K9,7
71,MAPK1,7
72,MBNL3,7
73,NEUROD1,7
74,NEXMIF,7
75,NF1,7
76,NFAT5,7
77,NFATC2,7
78,PCGF5,7
79,PHIP,7
80,PPFIA2,7
81,PRKG1,7
82,PTEN,7
83,RAD23B,7
84,REEP1,7
85,REEP3,7
86,RUNX1T1,7
87,SEC24A,7
88,SNIP1,7
89,SPEN,7
90,TCIM,7
91,TET2,7
92,TRAF3,7
93,TSC1,7
94,USP44,7
95,WNK3,7
96,ZDHHC21,7
97,ZFHX3,7
98,ZNF609,7
99,ACSL4,6
100,ADAM10,6
101,ADAMTS3,6
102,AEBP2,6
103,AKT3,6
104,AMMECR1L,6
105,ARID1A,6
106,ATXN1L,6
107,BACH2,6
108,BBX,6
109,BCL11B,6
110,BMT2,6
111,C21orf91,6
112,C8orf44-SGK3,6
113,C9orf72,6
114,CACNB4,6
115,CADM2,6
116,CALU,6
117,CAPRIN1,6
118,CBX6,6
119,CCNJ,6
120,CCSER2,6
121,CD2AP,6
122,CDK19,6
123,CEP350,6
124,CHST1,6
125,CLCN5,6
126,DCLK1,6
127,DDX3X,6
128,DDX3Y,6
129,DENND6A,6
130,DGKH,6
131,DIP2C,6
132,DMXL2,6
133,DOLPP1,6
134,ELAVL4,6
135,ELL2,6
136,EML1,6
137,EML4,6
138,FAM126B,6
139,FBXO28,6
140,FERMT2,6
141,FXR1,6
142,FZD6,6
143,G3BP2,6
144,GJA1,6
145,GOLGA1,6
146,GOLGA4,6
147,GRB10,6
148,HIPK2,6
149,HS3ST5,6
150,IGF2R,6
151,IKZF2,6
152,IRS1,6
153,ITGB8,6
154,KBTBD8,6
155,KCNC2,6
156,KIF5B,6
157,KLF12,6
158,KMT2A,6
159,KMT5B,6
160,LAMC1,6
161,LAMP2,6
162,LCORL,6
163,LGI2,6
164,MAP3K2,6
165,MAP3K21,6
166,MARCH6,6
167,MBTPS2,6
168,MED13,6
169,MEX3C,6
170,MFSD6,6
171,MIER3,6
172,MMD,6
173,MYLK4,6
174,MYO5A,6
175,NAA15,6
176,NAV3,6
177,NFIB,6
178,NOVA1,6
179,NTRK2,6
180,ONECUT2,6
181,OTUD3,6
182,PALM2,6
183,PCDH17,6
184,PDIK1L,6
185,PEX5L,6
186,PFN2,6
187,PHACTR2,6
188,PHTF2,6
189,PIK3CB,6
190,PIK3R1,6
191,PITPNM2,6
192,PLAG1,6
193,PLXNA4,6
194,PNISR,6
195,PPARGC1B,6
196,PPP1R2,6
197,PRKAA1,6
198,PRKAR2A,6
199,PSMD7,6
200,PTPN4,6
201,PTPRD,6
202,PTPRJ,6
203,RAB23,6
204,RAB30,6
205,RALGPS1,6
206,RAPH1,6
