pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
Diseases of programmed cell death,Cell death,2.3653167062851E-007,8.59201293558063E-005,4.0659050778,3.731078905,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
Antigen processing: Ubiquitination & Proteasome degradation,,2.14120292368914E-007,8.59201293558063E-005,4.0659050778,4.8498168498,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Growth hormone receptor signaling,,2.14120292368914E-007,8.59201293558063E-005,4.0659050778,4.8498168498,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,
Transport of small molecules,,9.2333954191723E-008,8.59201293558063E-005,4.0659050778,3.5363247863,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
Regulation of TP53 Activity through Phosphorylation,,1.10292946853674E-006,0.0003205113,3.4941566495,3.7352430556,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
NR1H2 and NR1H3-mediated signaling,,1.55510019122051E-006,0.0003765934,3.4241272613,5.408496732,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,
Interleukin-7 signaling,Interleukin,2.08451285967653E-006,0.0003785996,3.421819794,4.54556804,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,
Class I MHC mediated antigen processing & presentation,,1.95639719902092E-006,0.0003785996,3.421819794,3.5679933665,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Circadian Clock,,2.70579970919724E-006,0.0004368363,3.3596812494,3.9056047198,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Interleukin-4 and Interleukin-13 signaling,Interleukin,3.00849203205157E-006,0.0004371339,3.3593855201,2,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p
