target_score;miRNA;gene;Gene Description
100;hsa-miR-195-5p;PAPPA;pappalysin 1
100;hsa-miR-195-5p;FASN;fatty acid synthase
100;hsa-miR-195-5p;UNC80;unc-80 homolog, NALCN channel complex subunit
100;hsa-miR-195-5p;FGF2;fibroblast growth factor 2
100;hsa-miR-195-5p;TNRC6B;trinucleotide repeat containing 6B
100;hsa-miR-195-5p;PTPN4;protein tyrosine phosphatase, non-receptor type 4
100;hsa-miR-195-5p;PHF19;PHD finger protein 19
100;hsa-miR-195-5p;DESI1;desumoylating isopeptidase 1
99;hsa-miR-195-5p;UBE2Q1;ubiquitin conjugating enzyme E2 Q1
99;hsa-miR-195-5p;LSM11;LSM11, U7 small nuclear RNA associated
99;hsa-miR-195-5p;NECTIN1;nectin cell adhesion molecule 1
99;hsa-miR-195-5p;GAREM1;GRB2 associated regulator of MAPK1 subtype 1
99;hsa-miR-195-5p;ANKUB1;ankyrin repeat and ubiquitin domain containing 1
99;hsa-miR-195-5p;FBXO21;F-box protein 21
99;hsa-miR-195-5p;CCNE1;cyclin E1
99;hsa-miR-195-5p;ATG14;autophagy related 14
99;hsa-miR-195-5p;LUZP1;leucine zipper protein 1
99;hsa-miR-195-5p;SLC13A3;solute carrier family 13 member 3
99;hsa-miR-195-5p;ARIH1;ariadne RBR E3 ubiquitin protein ligase 1
99;hsa-miR-195-5p;MGAT4A;alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
99;hsa-miR-195-5p;EPHB2;EPH receptor B2
99;hsa-miR-195-5p;BTRC;beta-transducin repeat containing E3 ubiquitin protein ligase
99;hsa-miR-195-5p;SPRYD3;SPRY domain containing 3
99;hsa-miR-195-5p;ARL2;ADP ribosylation factor like GTPase 2
99;hsa-miR-195-5p;CASK;calcium/calmodulin dependent serine protein kinase
99;hsa-miR-195-5p;NUP50;nucleoporin 50
99;hsa-miR-195-5p;DCLK1;doublecortin like kinase 1
99;hsa-miR-195-5p;CYB561A3;cytochrome b561 family member A3
99;hsa-miR-195-5p;ZBTB46;zinc finger and BTB domain containing 46
99;hsa-miR-195-5p;FGF7;fibroblast growth factor 7
98;hsa-miR-195-5p;RECK;reversion inducing cysteine rich protein with kazal motifs
98;hsa-miR-195-5p;PLAG1;PLAG1 zinc finger
98;hsa-miR-195-5p;AXIN2;axin 2
98;hsa-miR-195-5p;GPR63;G protein-coupled receptor 63
98;hsa-miR-195-5p;SYNJ1;synaptojanin 1
98;hsa-miR-195-5p;ABL2;ABL proto-oncogene 2, non-receptor tyrosine kinase
98;hsa-miR-195-5p;SCN8A;sodium voltage-gated channel alpha subunit 8
98;hsa-miR-195-5p;CACNA1E;calcium voltage-gated channel subunit alpha1 E
98;hsa-miR-195-5p;PISD;phosphatidylserine decarboxylase
98;hsa-miR-195-5p;KCNJ2;potassium voltage-gated channel subfamily J member 2
98;hsa-miR-195-5p;C2orf42;chromosome 2 open reading frame 42
98;hsa-miR-195-5p;UBE2V1;ubiquitin conjugating enzyme E2 V1
98;hsa-miR-195-5p;KIF1B;kinesin family member 1B
98;hsa-miR-195-5p;SPRED1;sprouty related EVH1 domain containing 1
98;hsa-miR-195-5p;SREK1;splicing regulatory glutamic acid and lysine rich protein 1
98;hsa-miR-195-5p;TBL1XR1;transducin beta like 1 X-linked receptor 1
98;hsa-miR-195-5p;MTMR3;myotubularin related protein 3
98;hsa-miR-195-5p;TLK1;tousled like kinase 1
98;hsa-miR-195-5p;SLC11A2;solute carrier family 11 member 2
98;hsa-miR-195-5p;MOB3B;MOB kinase activator 3B
